id,device,phase,batch,selection,channel,start_s,end_s,mean_mV,std_mV,detrended_std_mV,span95_mV,peak_to_peak_mV,slope_mV_min,step_rms_mV,slow_rms_mV,signal_rms_mV,fast_rms_mV,edge_rms_mV,line33_rms_mV,fast_ppm,line33_fraction_pct,fast_excluding33_rms_mV,dominant_fast_Hz,top_peaks_Hz
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,seconds30to60,Ut1,30.0,60.0,1288.2751718499999,0.7644062940114117,0.7436840250074052,2.9090946093760124,4.577640000000201,1.224561434498626,0.22180614636660764,0.40627904389488,0.14623867257856665,0.19393622816161535,0.06559659284679961,0.06822004740649666,150.5394440561308,12.373886954861218,0.18154141600585105,40.0,"40.0,33.3,6.7,26.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,seconds30to60,Ut2,30.0,60.0,1149.4607544733335,0.6362977547625748,0.5071470782238441,2.1676630800267565,4.04358000000002,-2.6619763900711804,0.3692303919168307,0.25017612230304165,0.15167734332912114,0.3135616057895253,0.08010065655535023,0.24138843658535403,272.79017971622244,59.2634819242297,0.20013121522687105,33.300000000000004,"33.3,40.0,20.0,26.7,6.7"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,seconds30to60,Uc1,30.0,60.0,669.5936581133333,0.3914261050729165,0.37629479594496557,1.4713273742293012,1.7547659999997904,0.745483322882901,0.07893260162324928,0.21726024631844534,0.09281891737143332,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,seconds30to60,Uc2,30.0,60.0,597.3300427266666,0.2543497562663268,0.19778948248441736,0.769922891048259,1.3275129999999535,-1.1060884290704325,0.062432871844908824,0.13228232328013614,0.08817623790230393,,,,,,,,
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,full,Ut1,0.0,605.85,1301.444554621111,23.095049216565105,11.688276363436795,45.78385575099965,102.99683000000005,-6.833451630247314,0.4279002460406318,0.12947442503601347,0.1089726155463246,0.36341512853829905,0.06829772209339344,0.3009741959570004,279.2398087555101,68.58869199556834,0.20367888702206113,33.300000000000004,"33.3,26.7,6.7,20.0,40.0"
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,full,Ut2,0.0,605.85,1181.9511112108607,38.373027769119695,16.292033386971166,61.67436905090454,159.2254700000001,-11.91893386000606,0.36670022909804334,0.1814749222901654,0.10796532190879772,0.3140921661074594,0.07391752542264692,0.23909537077850646,265.7404042589247,57.9466222946022,0.2036842961113212,33.300000000000004,"33.3,26.7,6.7,40.0,13.3"
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,full,Uc1,0.0,605.85,674.5014084499835,10.42922885479337,5.7188636246095585,22.43847080104748,47.4548299999999,-2.992021210380208,0.23738373382221264,0.07242506867492418,0.20553076293457384,,,,,,,,
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,full,Uc2,0.0,605.85,612.1398357114559,18.56148484485524,8.144078223899855,30.892048511386708,77.4002099999999,-5.722126312752529,0.14060801266344242,0.1002138492975272,0.1294428103383787,,,,,,,,
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,first60,Ut1,0.0,60.0,1357.4506632416667,12.761306258293313,1.3471964923548594,4.544168856662962,45.08971999999994,-43.95577288615205,0.5526915965323498,0.0536038543251299,0.09759415996881458,0.46807689462788565,0.08202172107394515,0.39768145337960703,344.8205576106113,72.18322256693094,0.24687130437207197,33.300000000000004,"33.3,26.7,6.7,20.0,40.0"
0915_论文腕表_开机长记录,论文腕表,开机长记录,0915,first60,Ut2,0.0,60.0,1269.5381291816668,17.007436104776207,1.4542421913843284,4.698571561374694,59.50927999999999,-58.69482574856236,0.26721091289242577,0.05358251212332278,0.08527215917870766,0.24396995026453694,0.06640149439848528,0.14647871382128935,192.17221181202163,36.04760043505959,0.19510336498723296,33.300000000000004,"33.3,26.7,6.7,13.3,20.0"
