id,device,phase,batch,channel,start_s,acc_rms_g,mean_mV,std_mV,detrended_std_mV,span95_mV,peak_to_peak_mV,slope_mV_min,step_rms_mV,slow_rms_mV,signal_rms_mV,fast_rms_mV,edge_rms_mV,line33_rms_mV,fast_ppm,line33_fraction_pct,fast_excluding33_rms_mV,dominant_fast_Hz,top_peaks_Hz
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut1,10.0,0.0012430439698758965,1288.7591551700002,0.7634563904723868,0.439770010064257,1.7208859651794115,3.509520000000066,-12.964647824612051,0.42272771210412485,0.15942962911408254,0.12528058839930536,0.360813979307603,0.07095558981321254,0.3148255643361052,279.97006101579007,76.1330572925345,0.1762713581505522,33.300000000000004,"33.3,20.0,26.7,6.7,29.3"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut2,10.0,0.0012430439698758965,1149.46731561,0.3439455402881544,0.2767423797425626,1.0721441490990622,2.7465799999999945,4.242836832710532,0.2648406882388836,0.10678702042922279,0.09630019788438532,0.20961006313039648,0.04737602592435446,0.15704730128773492,182.3540872227067,56.13538404166775,0.1388255153916895,33.300000000000004,"33.3,40.0,6.7,26.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc1,10.0,0.0012430439698758965,669.7883606400001,0.37428091489432186,0.19307009005067924,0.7543441665904225,1.571649999999977,-6.631307535553585,0.18441085571043186,0.06048492187921312,0.16194430735925794,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc2,10.0,0.0012430439698758965,597.3600777099999,0.19004873331109792,0.15469418570441396,0.5590171776963984,0.831602000000089,2.2832396939694544,0.14851063471094308,0.06439900337577738,0.15626858591243847,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut1,20.0,0.001254104567581683,1288.47534165,0.4821361478823934,0.4255567212052327,1.6986461687120424,2.89917000000014,4.707860305104944,0.36874844363188014,0.27307090977211307,0.1325391053176609,0.3168175433282614,0.055335253870360514,0.27520216598578984,245.88560842968877,75.45451837232825,0.15696217250434757,33.300000000000004,"33.3,20.0,29.3,48.8,39.1"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut2,20.0,0.001254104567581683,1149.73220849,0.3208958463957596,0.31346491584189,1.1940633003604604,2.517699999999877,1.4263121840244566,0.3100392492993548,0.08429852701558031,0.16780305564645875,0.26715369541321266,0.06087403305346804,0.20269726257720902,232.36166947438898,57.56697318506142,0.17402562086268097,33.300000000000004,"33.3,40.0,6.7,26.7,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc1,20.0,0.001254104567581683,669.6540829,0.2360334773196993,0.194677812402192,0.7564434017093418,1.068119999999908,2.7602080504065905,0.13270003508119801,0.1565204709692808,0.13165376086915967,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc2,20.0,0.001254104567581683,597.51174984,0.12439841976225925,0.12330092920157437,0.4894081042498811,0.5950959999998986,0.3409918631848917,0.1209954412754936,0.04623325349529282,0.12073942394188192,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut1,30.0,0.0013131552459954856,1288.31954946,0.7420773815657951,0.5255618217448741,1.9943239463943143,4.577640000000201,-10.883465920744749,0.24010661361153857,0.2772352273455888,0.12242082847476614,0.21355915472048545,0.06304811229095458,0.11114100114940548,165.7656711100898,27.08396367573655,0.18236005710800843,33.300000000000004,"33.3,40.0,26.7,46.7,13.3"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut2,30.0,0.0013131552459954856,1149.74182146,0.37189674077957713,0.3711198275160629,1.567989784261806,2.288819999999987,-0.49912618192440583,0.3927067380431691,0.11323610347123728,0.1218775806479367,0.3486945142826497,0.07853816949086832,0.27127659825879,303.2807085679982,60.52494892651995,0.2190818831577637,33.300000000000004,"33.3,6.7,40.0,26.6,20.0"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc1,30.0,0.0013131552459954856,669.5999144200001,0.36468981724280974,0.254887796708185,0.9023142873005268,1.693725999999856,-5.3942890153000755,0.07517592623057391,0.1356998058057161,0.07581563058624728,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc2,30.0,0.0013131552459954856,597.4391184599999,0.08426595922137813,0.08265406426866141,0.31147444232211663,0.5187989999998308,-0.3392374365437414,0.05367224597126592,0.06520564850214268,0.06385776441747924,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut1,40.0,0.004680639660703679,1287.73757933,0.7167416763520044,0.3291896185776362,1.2301934612054137,3.9672800000000734,13.226393431073184,0.21100668527414118,0.19193996732487764,0.10750436367068764,0.1908302418598671,0.06398124376754538,0.05169896121579147,148.19031837150752,7.339546602934487,0.18369376314263763,40.0,"40.0,6.7,26.7,20.0,13.3"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Ut2,40.0,0.004680639660703679,1149.81803918,0.4263407220576203,0.4050410756959675,1.6887321006487637,2.8991699999999128,-2.7644662170233767,0.3719381703687209,0.15056071610064786,0.12486731454347769,0.30899272412855966,0.07721187229772067,0.23447218834541053,268.73184590921863,57.581923358148245,0.20124437000051085,33.300000000000004,"33.3,40.0,26.7,20.0,13.4"
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc1,40.0,0.004680639660703679,669.3196102,0.3817465769341444,0.16328710557413129,0.5896054799682928,1.5716539999999668,7.136385411343988,0.08292619864746417,0.09839521691316323,0.09193730816701902,,,,,,,,
0915_论文腕表_稳定静置,论文腕表,稳定静置,0915,Uc2,40.0,0.004680639660703679,597.4938201299999,0.14086377988101498,0.13002377486169958,0.4976980649139875,0.6713859999997567,-1.120702793877689,0.05684522589459561,0.07206697418259166,0.06702585401333173,,,,,,,,
