device,phase,run,window,channel,start_s,end_s,rms_mV,mean_mV,std_raw_mV,slope_mV_min
论文腕表,开机,1,10–20秒,Ut2,10.0,20.0,0.26315941337209475,1284.0356446600001,3.364450561553254,-69.66562135954607
项目腕表,佩戴,1,前30秒,Ut1,0.0,30.0,0.5905168966892689,1969.3537646766665,0.7851249485679592,-2.216386940230163
项目腕表,佩戴,1,前30秒,Ut2,0.0,30.0,0.6944031429307952,1581.4663950666668,3.066650149670479,20.60418861881427
项目腕表,佩戴,1,前60秒,Ut1,0.0,60.0,0.6234105424713837,1975.2116266016665,10.477615119171753,26.87466497145853
项目腕表,佩戴,1,前60秒,Ut2,0.0,60.0,0.6101203635947303,1585.794347165,5.051297700436618,17.257441816391847
项目腕表,佩戴,1,末30秒,Ut1,67.2,97.2,0.8159851914232384,2012.91188544,2.731486500203864,16.3381716128153
项目腕表,佩戴,1,末30秒,Ut2,67.2,97.2,0.4474027465212804,1598.0000050566666,2.040323250311459,13.656029800575576
项目腕表,佩戴,1,末60秒,Ut1,37.2,97.2,0.7465653719728601,2000.8975981850003,15.25983178836654,48.589129069415925
项目腕表,佩戴,1,末60秒,Ut2,37.2,97.2,0.45331458874703456,1594.8054504683334,3.7391324217981183,12.810906002398966
项目腕表,佩戴,1,10–20秒,Ut1,10.0,20.0,0.5820085434596729,1969.06440705,0.6987819138559065,-3.6459462746281868
项目腕表,佩戴,1,10–20秒,Ut2,10.0,20.0,0.6428841594397544,1581.5862275,1.1049377805069165,17.34455028864151
项目腕表,静置,1,前30秒,Ut1,0.0,30.0,0.5054432032627161,1482.6803082533334,0.7417099577978695,-0.408244526109719
项目腕表,静置,1,前30秒,Ut2,0.0,30.0,0.3954964942672822,1296.9468943433333,0.7015253355754063,0.5569615155206653
项目腕表,静置,1,前60秒,Ut1,0.0,60.0,0.6556060989763131,1482.7940243816668,0.8839863315956857,-0.09137629892425479
项目腕表,静置,1,前60秒,Ut2,0.0,60.0,0.3835041168447023,1296.5584182583332,0.87620989842248,-0.9104355153351923
项目腕表,静置,1,末30秒,Ut1,74.11,104.11,0.8662072384405284,1482.8598784766666,1.2798587656157088,5.529593500623092
项目腕表,静置,1,末30秒,Ut2,74.11,104.11,0.3941581562836051,1294.4730124233333,1.0253557728552856,-5.442307322020686
项目腕表,静置,1,末60秒,Ut1,44.11,104.11,0.8126686203125041,1482.5495402883334,1.1526833595582562,1.3539275089411713
项目腕表,静置,1,末60秒,Ut2,44.11,104.11,0.38550919946840156,1295.40185297,1.323022153059068,-3.7917695011775683
项目腕表,静置,1,10–20秒,Ut1,10.0,20.0,0.42954233018643295,1483.20487987,0.6059125626673171,-6.250483637806088
项目腕表,静置,1,10–20秒,Ut2,10.0,20.0,0.3583354669153838,1296.76452631,0.6505524982568832,8.748119879752764
项目腕表,静置,2,前30秒,Ut1,0.0,30.0,0.4685287636760331,1503.2510120066665,0.4848097127355203,0.48101351179057733
项目腕表,静置,2,前30秒,Ut2,0.0,30.0,0.3484433996087084,1302.9998524399998,0.454861260680293,-1.987927433522282
项目腕表,静置,2,前60秒,Ut1,0.0,60.0,0.6245368524648885,1503.4583661549998,0.673024856262429,0.7859770217828157
项目腕表,静置,2,前60秒,Ut2,0.0,60.0,0.35775950122256694,1302.574411745,0.6196648120158,-1.7215065017963622
项目腕表,静置,2,末30秒,Ut1,59.56999999999999,89.57,0.7213859368248552,1503.9107767199998,0.7338351062488309,0.3400726871199653
项目腕表,静置,2,末30秒,Ut2,59.56999999999999,89.57,0.44704442734347133,1301.4206442633333,0.507433956959213,-1.5782216841208287
项目腕表,静置,2,末60秒,Ut1,29.569999999999993,89.57,0.7484543829192434,1503.7864810283334,0.7586573270163558,0.5220444919175802
