ppg,state,cycle,trim_s,channel,mcu_start_s,mean_mV,total_rms_mV,b20_rms_mV,b40_rms_mV,b33_rms_mV,other_rms_mV
PPG开启,连接,3,10,Ut1,205.905,1512.02239951,0.2913140509173087,0.08093374297981872,0.06108265447885403,0.21548830763357119,0.2730979949229688
PPG开启,连接,3,10,Ut2,205.905,1343.6238096099999,0.15439196181669135,0.06525930102478703,0.04606079446176541,0.0568501491086277,0.1321230665588485
PPG开启,复位,3,5,Ut1,230.905,1511.349982545,0.14592535857692465,0.0866622389310911,0.102950709657096,0.009502782679614038,0.0564359637142384
PPG开启,复位,3,5,Ut2,230.905,1340.5807494399999,0.19952456258601442,0.13800176783200432,0.13558009776437727,0.007761699832442768,0.048822128595380446
PPG开启,复位,3,10,Ut1,235.905,1511.3937376600002,0.07730111692882276,0.03475636740062402,0.03782970630712593,0.01045771724418684,0.05776132723780648
PPG开启,复位,3,10,Ut2,235.905,1340.58021521,0.15499800301446648,0.10440040244544638,0.10370644721644938,0.00580926452604199,0.048681718472576435
PPG关闭,连接,1,5,Ut1,79.802,1521.5161133400002,0.8050289058738875,0.14262167067761303,0.1951235094235399,0.635286541487938,0.7678915381848381
PPG关闭,连接,1,5,Ut2,79.802,1357.713165435,0.19064716728290546,0.05846093356949498,0.04252242730884263,0.07338959320051866,0.17641004737526553
PPG关闭,连接,1,10,Ut1,84.802,1521.48170468,0.7374575239698014,0.12514028940855695,0.18515287704984074,0.5954607973860483,0.7027815590541483
PPG关闭,连接,1,10,Ut2,84.802,1357.69966128,0.18691077160623892,0.06050478248212205,0.045913103962988054,0.06711192687939223,0.1707828876782289
PPG关闭,复位,1,5,Ut1,109.802,1520.4623413749998,0.058598070368331645,0.015572185283078702,0.012940828987710531,0.008375260617426137,0.05498887016035377
PPG关闭,复位,1,5,Ut2,109.802,1354.1769409449998,0.05250331763358799,0.012729622318651414,0.010908148433532643,0.00804792166973815,0.04975507387101282
PPG关闭,复位,1,10,Ut1,114.802,1520.4494484799998,0.0575752272539341,0.0158452185384454,0.013245448499495868,0.007515858412895923,0.053743780448143624
PPG关闭,复位,1,10,Ut2,114.802,1354.17167708,0.047942361697031255,0.01262186335638947,0.010224380541398292,0.008577748292274142,0.04510676948137915
PPG关闭,连接,2,5,Ut1,140.24,1520.36598269,0.5010892584283353,0.07510205666502298,0.10770690440592552,0.39306092625047884,0.48357972325174625
PPG关闭,连接,2,5,Ut2,140.24,1350.9871676050002,0.13683541638045515,0.04000317587387883,0.03558694294009837,0.0632592285464439,0.12592555970967226
PPG关闭,连接,2,10,Ut1,145.24,1520.3475956599998,0.47167602652474044,0.07021885802839546,0.10153417769871076,0.3728170459629549,0.45523444150723297
PPG关闭,连接,2,10,Ut2,145.24,1350.9819033499998,0.1454956458916814,0.04537168364482221,0.04169461012146764,0.06048671693044622,0.1318027040067484
PPG关闭,复位,2,5,Ut1,170.24,1520.35190553,0.051830983566726864,0.014712731655373072,0.013726038322766886,0.008088188318356313,0.047765911031751804
PPG关闭,复位,2,5,Ut2,170.24,1348.108940395,0.051560923902363526,0.010962127841985725,0.010451542570635531,0.008855578503417814,0.04928616321783911
PPG关闭,复位,2,10,Ut1,175.24,1520.3530118,0.052269954081857015,0.014816185618388739,0.015613269141105616,0.009073238174597657,0.047632494897583214
PPG关闭,复位,2,10,Ut2,175.24,1348.1112671,0.051830959979660716,0.008434787028589779,0.010109976142298924,0.007857408950168388,0.05013074069468424
PPG关闭,连接,3,5,Ut1,200.647,1520.780067415,0.6804563099059281,0.09618626517504444,0.14974182531464192,0.5832208035486314,0.6567696535574005
PPG关闭,连接,3,5,Ut2,200.647,1345.451240825,0.27894551338508305,0.0630006087059467,0.06538642490823236,0.19167004790112674,0.2637539349053732
PPG关闭,连接,3,10,Ut1,205.647,1520.7705688,0.6639407654088079,0.09626784877588869,0.1514725084417504,0.565588162611781,0.6392229035712504
PPG关闭,连接,3,10,Ut2,205.647,1345.4438785,0.2809836855109339,0.060278776010457204,0.06656018366375613,0.18934780667610013,0.26624808475674633
PPG关闭,复位,3,5,Ut1,230.647,1520.7674032149996,0.049187190640181976,0.013162366178243168,0.015373329976679962,0.009417474246357844,0.044830710066778544
PPG关闭,复位,3,5,Ut2,230.647,1342.850647375,0.045869406118617256,0.012283695245341208,0.012455260353766503,0.008862658413193817,0.042402591174527486
PPG关闭,复位,3,10,Ut1,235.647,1520.7613373399997,0.04933662328563656,0.012907927325393587,0.01650296448828628,0.008547635460116575,0.04466698974062988
PPG关闭,复位,3,10,Ut2,235.647,1342.84484909,0.04726884322388136,0.014059296343383888,0.014387644318278022,0.009466107494077346,0.04277470534116524
