dataset,channel,f_Hz,psd_mV2_Hz
修订前,Ut1,34.6,0.0016829718530392945
修订前,Ut1,34.7,0.002589213333420751
修订前,Ut1,34.800000000000004,0.001671233352022877
修订前,Ut1,34.9,0.0010831142612117964
修订前,Ut1,35.0,0.0012719874658977095
修订前,Ut1,35.1,0.0015603189205351884
修订前,Ut1,35.2,0.0009359136629801957
修订前,Ut1,35.300000000000004,0.0012634609037073452
修订前,Ut1,35.4,0.001036673635416002
修订前,Ut1,35.5,0.0007295107916130774
修订前,Ut1,35.6,0.0010995983647544697
修订前,Ut1,35.7,0.0019062725043113168
修订前,Ut1,35.800000000000004,0.000869649659076467
修订前,Ut1,35.9,0.0006668933831178585
修订前,Ut1,36.0,0.002016266577967308
修订前,Ut1,36.1,0.000988070285105875
修订前,Ut1,36.2,0.0007497288920308178
修订前,Ut1,36.300000000000004,0.0006432166851644015
修订前,Ut1,36.4,0.0004056191263811459
修订前,Ut1,36.5,0.0005674371711831152
修订前,Ut1,36.6,0.0014783134916056936
修订前,Ut1,36.7,0.0014885545688054177
修订前,Ut1,36.800000000000004,0.0009017643799806047
修订前,Ut1,36.9,0.0015231440120478967
修订前,Ut1,37.0,0.002486760177548118
修订前,Ut1,37.1,0.0011372103892332921
修订前,Ut1,37.2,0.00043417890862869205
修订前,Ut1,37.300000000000004,0.0009764563677397537
修订前,Ut1,37.4,0.0010860199158675746
修订前,Ut1,37.5,0.000990188438955088
修订前,Ut1,37.6,0.0018358857301585408
修订前,Ut1,37.7,0.0014909210999251123
修订前,Ut1,37.800000000000004,0.0005863512752826462
修订前,Ut1,37.9,0.0010276169869394044
修订前,Ut1,38.0,0.0016726989484922435
修订前,Ut1,38.1,0.0010210654267817107
修订前,Ut1,38.2,0.0009907314900137654
修订前,Ut1,38.300000000000004,0.001757088965176184
修订前,Ut1,38.400000000000006,0.0014002523905119958
修订前,Ut1,38.5,0.0018932809718602563
修订前,Ut1,38.6,0.0026303714263842515
修订前,Ut1,38.7,0.0022175708070415545
修订前,Ut1,38.800000000000004,0.002254863418445632
修订前,Ut1,38.900000000000006,0.008646502424164369
修订前,Ut1,39.0,0.01041896434282903
修订前,Ut1,39.1,0.015592931737578801
修订前,Ut1,39.2,0.012329956021762222
修订前,Ut1,39.300000000000004,0.003528734029639351
修订前,Ut1,39.400000000000006,0.0014938717016405555
修订前,Ut1,39.5,0.007063607557049514
修订前,Ut1,39.6,0.016249416131358472
修订前,Ut1,39.7,0.0079892598884088
修订前,Ut1,39.800000000000004,0.009387041232461394
修订前,Ut1,39.900000000000006,0.015346475819266637
修订前,Ut1,40.0,0.0319068799763716
修订前,Ut1,40.1,0.017996206854860978
修订前,Ut1,40.2,0.01050221076204897
修订前,Ut1,40.300000000000004,0.008013443883189282
修订前,Ut1,40.400000000000006,0.013682451720604004
修订前,Ut1,40.5,0.007350988795632719
修订前,Ut1,40.6,0.0031785954613747
修订前,Ut1,40.7,0.004216361544518137
修订前,Ut1,40.800000000000004,0.013340002964559715
修订前,Ut1,40.900000000000006,0.01689018490303494
修订前,Ut1,41.0,0.011780423172347442
修订前,Ut1,41.1,0.009235699168531853
修订前,Ut1,41.2,0.0027952790450616275
修订前,Ut1,41.300000000000004,0.005229067916591035
修订前,Ut1,41.400000000000006,0.044710994054187485
修订前,Ut1,41.5,0.0351354117351618
修订前,Ut1,41.6,0.00223987448114913
修订前,Ut1,41.7,0.0008858775571240384
修订前,Ut1,41.800000000000004,0.0006409862565447083
修订前,Ut1,41.900000000000006,0.0009094726655451878
修订前,Ut1,42.0,0.0008565650661891217
修订前,Ut1,42.1,0.0010959562525966913
修订前,Ut1,42.2,0.0011825871447623067
修订前,Ut1,42.300000000000004,0.0022729137536566715
修订前,Ut1,42.400000000000006,0.0019953370599496015
修订前,Ut1,42.5,0.0007797265447752535
修订前,Ut1,42.6,0.001953736199157048
修订前,Ut1,42.7,0.0017387086079689437
修订前,Ut1,42.800000000000004,0.0007843887158922835
修订前,Ut1,42.900000000000006,0.000450138967631917
修订前,Ut1,43.0,0.0013120324557835525
修订前,Ut1,43.1,0.0014209670716066357
修订前,Ut1,43.2,0.0018529056815532645
修订前,Ut1,43.300000000000004,0.0029862457094567483
修订前,Ut1,43.400000000000006,0.0018536150390706498
修订前,Ut1,43.5,0.0010004137973099712
修订前,Ut1,43.6,0.0015790047479628075
修订前,Ut1,43.7,0.0014381657145986534
修订前,Ut1,43.800000000000004,0.0006260296237171093
修订前,Ut1,43.900000000000006,0.001323234897427099
修订前,Ut1,44.0,0.0027881088092477284
修订前,Ut1,44.1,0.0027122724903091075
修订前,Ut1,44.2,0.0012854597353605317
修订前,Ut1,44.300000000000004,0.0007282448829616082
修订前,Ut1,44.400000000000006,0.0007518157258078625
修订前,Ut1,44.5,0.0008799800114662357
修订前,Ut1,44.6,0.0018897935907848417
修订前,Ut1,44.7,0.002442825984197426
修订前,Ut1,44.800000000000004,0.001409769266106098
修订前,Ut1,44.900000000000006,0.0005711551450105662
修订前,Ut1,45.0,0.0008723099974140054
修订前,Ut1,45.1,0.0008933870636865518
修订前,Ut1,45.2,0.0016137172607362388
修订前,Ut1,45.300000000000004,0.0026731246826064052
修订前,Ut1,45.400000000000006,0.002245674706449132
修订前,Ut1,45.5,0.001034262319741409
修订前,Ut1,45.6,0.0048986308469101784
修订前,Ut1,45.7,0.006602715188540788
修订前,Ut1,45.800000000000004,0.0012118448569238807
修订前,Ut1,45.900000000000006,0.0010146382687233934
修订前,Ut1,46.0,0.0016209416375316816
修订前,Ut1,46.1,0.0012037307947255322
修订前,Ut1,46.2,0.0007388618603597856
修订前,Ut1,46.300000000000004,0.001171456904949109
修订前,Ut1,46.400000000000006,0.0007722669789850259
修订前,Ut1,46.5,0.0011576742318506643
修订前,Ut1,46.6,0.008313493818797962
修订前,Ut1,46.7,0.011565220006108611
修订前,Ut1,46.800000000000004,0.0027447257130863993
修订前,Ut1,46.900000000000006,0.0008629389275789885
修订前,Ut1,47.0,0.0008500102995991625
修订前,Ut1,47.1,0.0005712262906456943
修订前,Ut1,47.2,0.0010443825278301955
修订前,Ut1,47.300000000000004,0.0011406681778213695
修订前,Ut1,47.400000000000006,0.001162351641381745
修订前,Ut1,47.5,0.0007093838149378151
修订前,Ut1,47.6,0.001058390203011177
修订前,Ut1,47.7,0.0022517861674245325
修订前,Ut1,47.800000000000004,0.0012152639261160298
修订前,Ut1,47.900000000000006,0.0007519317761570569
修订前,Ut1,48.0,0.0016014271225010654
修订前,Ut1,48.1,0.0012865942389047452
修订前,Ut1,48.2,0.0007345925199270718
修订前,Ut1,48.300000000000004,0.0010294909943288578
修订前,Ut1,48.400000000000006,0.0011833906879010877
修订前,Ut1,48.5,0.001155425748380269
修订前,Ut1,48.6,0.0016643432127263003
修订前,Ut1,48.7,0.001987589783855819
修订前,Ut1,48.800000000000004,0.0009977901166147594
修订前,Ut1,48.900000000000006,0.0005761741284866592
修订前,Ut1,49.0,0.0005540072732823909
修订前,Ut1,49.1,0.000576540514928494
修订前,Ut1,49.2,0.001185729785580485
修订前,Ut1,49.300000000000004,0.0015710388636787456
修订前,Ut1,49.400000000000006,0.001387212880108938
修订前,Ut1,49.5,0.009348665070288325
修订前,Ut1,49.6,0.009410671718606413
修订前,Ut1,49.7,0.0014825771753889099
修订前,Ut1,49.800000000000004,0.0009919445314319946
修订前,Ut1,49.900000000000006,0.001537244428241343
修订前,Ut1,50.0,0.0014045616699242364
修订前,Ut2,0.0,0.0013850555329883525
修订前,Ut2,0.1,0.011907749049879636
修订前,Ut2,0.2,0.03556604339816863
修订前,Ut2,0.30000000000000004,0.032817376286887676
修订前,Ut2,0.4,0.06886624475911911
修订前,Ut2,0.5,0.06414533144977352
修订前,Ut2,0.6000000000000001,0.11558192410183608
修订前,Ut2,0.7000000000000001,0.08967609132643367
修订前,Ut2,0.8,0.03978315866120708
修订前,Ut2,0.9,0.04154005034860733
修订前,Ut2,1.0,0.0506763647376955
修订前,Ut2,1.1,0.057896645007116644
修订前,Ut2,1.2000000000000002,0.025757345444947986
修订前,Ut2,1.3,0.017091113272946653
修订前,Ut2,1.4000000000000001,0.0074825962334961645
修订前,Ut2,1.5,0.0017580655254366936
修订前,Ut2,1.6,0.001221457491232283
修订前,Ut2,1.7000000000000002,0.0008243629675480662
修订前,Ut2,1.8,0.0008351857953184428
修订前,Ut2,1.9000000000000001,0.0006656923366847304
修订前,Ut2,2.0,0.0005281970844886262
修订前,Ut2,2.1,0.00042941312339020036
修订前,Ut2,2.2,0.0002654992105148279
修订前,Ut2,2.3000000000000003,0.0004323166037910687
修订前,Ut2,2.4000000000000004,0.00037062851078493395
修订前,Ut2,2.5,0.00030996988306442264
修订前,Ut2,2.6,0.0005144582351478244
修订前,Ut2,2.7,0.0005505087312249927
修订前,Ut2,2.8000000000000003,0.0002852887979245135
修订前,Ut2,2.9000000000000004,0.0003180779586297016
修订前,Ut2,3.0,0.00029042107281012817
修订前,Ut2,3.1,0.00036822271262426
修订前,Ut2,3.2,0.0003290631139766816
修订前,Ut2,3.3000000000000003,0.0002732092019704376
修订前,Ut2,3.4000000000000004,0.00037107508646469256
修订前,Ut2,3.5,0.0003134334137454044
修订前,Ut2,3.6,0.00020517751342656243
修订前,Ut2,3.7,0.00027585787358299713
修订前,Ut2,3.8000000000000003,9.20187630705034e-05
修订前,Ut2,3.9000000000000004,0.00032665590713646503
修订前,Ut2,4.0,0.0005042377654087385
修订前,Ut2,4.1000000000000005,0.00036303496862983913
修订前,Ut2,4.2,0.0003409513832540554
修订前,Ut2,4.3,0.00045714207472118915
修订前,Ut2,4.4,0.0004614660021283091
修订前,Ut2,4.5,0.0003942945766089454
修订前,Ut2,4.6000000000000005,0.00036952913093697324
修订前,Ut2,4.7,0.0004571398397312545
修订前,Ut2,4.800000000000001,0.0004795106266639586
修订前,Ut2,4.9,0.00039908663015534066
修订前,Ut2,5.0,0.0003198263241107893
修订前,Ut2,5.1000000000000005,0.0002996455267769051
修订前,Ut2,5.2,0.00041468044627063596
修订前,Ut2,5.300000000000001,0.0008318613781657142
修订前,Ut2,5.4,0.0007303437905611918
修订前,Ut2,5.5,0.0003779413866629127
修订前,Ut2,5.6000000000000005,0.0008364090293920243
修订前,Ut2,5.7,0.0009174049436854686
修订前,Ut2,5.800000000000001,0.00027615570530599773
修订前,Ut2,5.9,0.0003053238777532388
修订前,Ut2,6.0,0.00041282378086206873
修订前,Ut2,6.1000000000000005,0.00044600460156405796
修订前,Ut2,6.2,0.00027607728610910956
修订前,Ut2,6.300000000000001,0.0003800272547475658
修订前,Ut2,6.4,0.0005503149968764695
修订前,Ut2,6.5,0.0005561393175606715
修订前,Ut2,6.6000000000000005,0.01368143713173517
修订前,Ut2,6.7,0.0238391503462382
修订前,Ut2,6.800000000000001,0.0026606300700822614
修订前,Ut2,6.9,0.0005273630600086836
修订前,Ut2,7.0,0.0006910728053971501
修订前,Ut2,7.1000000000000005,0.0004035953487185591
修订前,Ut2,7.2,0.000282069184957208
