dataset,window,channel,n,start_mcu_s,end_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订前开机,前30秒,Ut1,3000,15.125000000000009,45.12500000000001,1512.0634716000002,15.304608235205329,-23.325613248105196,0.8844310443564507,0.18573439095867186,0.2204319979099377,0.7135152507655372,0.21578250874084737,33.3;26.7;6.7;0.6;40.0;20.0;25.2;8.1
修订前开机,前30秒,Ut2,3000,15.125000000000009,45.12500000000001,1355.2083079166666,4.902596958614884,-33.16071340008501,0.3929956842301286,0.1375760089275885,0.13234948469136104,0.18147993205914378,0.23669660504072113,33.3;0.6;0.9;26.7;6.7;19.6;20.8;39.6
修订前开机,末30秒,Ut1,3000,606.5550000000001,636.555,1502.9255416433334,0.47146841310214477,0.28918828502501764,0.43861600404899154,0.15268987659414637,0.16825884216974932,0.1570514201621883,0.22686076781139403,0.5;33.3;0.8;26.7;13.3;6.7;40.0;46.7
修订前开机,末30秒,Ut2,3000,606.5550000000001,636.555,1304.5153810266665,0.5920137582024954,-1.9846011666738652,0.5012077994612294,0.15044659565217938,0.1589319344170063,0.3293967313617779,0.20967724486365832,33.3;0.5;0.8;40.0;26.7;20.0;6.7;40.3
修订前开机,末60秒,Ut1,6000,576.5550000000001,636.555,1502.86515535,0.5100797008017888,0.17622487932785755,0.47658212221977286,0.15043901659017908,0.16731825396452524,0.25605024463062503,0.2299918776762229,33.3;0.5;0.8;26.7;40.0;13.3;6.7;46.7
修订前开机,末60秒,Ut2,6000,576.5550000000001,636.555,1304.9937185049998,0.7525078854939906,-1.916841352126085,0.4865822583346441,0.14585326720632352,0.15146486024510353,0.32106343208858257,0.20178581730861767,33.3;0.5;0.8;40.0;26.7;6.7;20.0;40.3
修订前开机,末120秒,Ut1,12000,516.5550000000001,636.555,1502.7674739150002,0.6337323864793346,0.20481023626458883,0.5969923286549049,0.15322478943186985,0.16983934339315981,0.4495465110895045,0.2177562981253453,33.3;0.5;0.8;20.0;26.7;25.2;40.0;6.7
修订前开机,末120秒,Ut2,12000,516.5550000000001,636.555,1305.9853046408332,1.240160087304861,-1.977396034558335,0.45529265939547664,0.14062534792762102,0.14845056012449906,0.2956403600020728,0.19146635119145236,33.3;0.5;0.8;40.0;26.7;6.7;40.3;20.3
修订前开机,前60秒,Ut1,6000,15.125000000000009,75.12500000000001,1509.0737280249998,11.258475188802185,-12.604769481379373,0.861131762184572,0.17371273876899335,0.19931897471309454,0.7166094226769075,0.2046205281434083,33.3;0.6;26.7;6.7;20.0;40.0;25.2;8.1
修订前开机,前60秒,Ut2,6000,15.125000000000009,75.12500000000001,1349.5375569633331,6.877304347592636,-23.28148245600581,0.40310210804326,0.1356501072905572,0.13684311661068557,0.22528555676422107,0.2069589628476228,33.3;0.5;26.7;6.7;40.0;19.7;20.3;40.3
修订前开机,上电540–600秒,Ut1,6000,540.005,600.005,1502.763837505,0.6522422193631775,0.16560515582001997,0.6308213661530219,0.15289922831102315,0.16863483047750713,0.5038128284576998,0.21465489524472106,33.3;0.5;0.8;25.2;41.4;8.1;20.0;40.6
修订前开机,上电540–600秒,Ut2,6000,540.005,600.005,1306.1929577466665,0.7445883936287774,-1.9805185446538414,0.44780550947315256,0.13735831925727046,0.14768052627981648,0.29116891835123854,0.19342498766320937,33.3;0.5;0.8;40.0;6.7;26.7;39.7;19.7
