dataset,channel,start_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订前静置,Ut1,651.465,1503.2510120066665,0.4848097127355203,0.48101351179057733,0.4685287636760331,0.1603887427949968,0.15551387684229712,0.24980487338380727,0.226622078068228,33.3;0.6;0.9;26.7;6.7;20.0;13.3;19.6
修订前静置,Ut2,651.465,1302.9998524399998,0.454861260680293,-1.987927433522282,0.3484433996087084,0.12862392901773076,0.1324568147011229,0.1172137893807621,0.23650818979983035,0.6;0.9;33.3;40.4;20.4;40.8;39.2;39.6
修订前静置,Ut1,681.465,1503.6657203033333,0.764862952112762,0.8303030735200302,0.7650690944018952,0.1885747943825397,0.20898501000770453,0.5790002974146801,0.2564531919939881,33.3;0.6;6.7;1.1;26.7;40.0;20.0;25.2
修订前静置,Ut2,681.465,1302.14897105,0.44618152455700527,-1.5735479139999144,0.36773504818294506,0.1337938297910341,0.13323179032995155,0.13883101308298212,0.23291412200206282,0.6;33.3;1.0;26.7;6.7;13.3;20.4;40.4
修订前开机,Ut1,15.125000000000009,1512.0634716000002,15.304608235205329,-23.325613248105196,0.8844310443564507,0.18573439095867186,0.2204319979099377,0.7135152507655372,0.21578250874084737,33.3;26.7;6.7;0.6;40.0;20.0;25.2;8.1
修订前开机,Ut2,15.125000000000009,1355.2083079166666,4.902596958614884,-33.16071340008501,0.3929956842301286,0.1375760089275885,0.13234948469136104,0.18147993205914378,0.23669660504072113,33.3;0.6;0.9;26.7;6.7;19.6;20.8;39.6
修订前开机,Ut1,45.125000000000014,1506.0839844500001,1.197774927495817,-5.758697233471521,0.8390880606853529,0.16431329620333585,0.18002575504340615,0.7173913205311396,0.19772544477352613,33.3;0.7;26.7;20.0;25.2;6.7;8.1;41.4
修订前开机,Ut2,45.125000000000014,1343.86680601,2.497732190087431,-16.99312376694015,0.40851204791283763,0.13319284808221862,0.13709899430619082,0.259874138052967,0.16869999603174038,33.3;0.7;40.0;6.7;26.7;19.7;20.6;40.6
修订前开机,Ut1,75.125,1503.9199826966667,0.9188337298507657,-3.4599174281318614,0.7434940841452119,0.17235153911840595,0.17509586830343857,0.6290548666300393,0.14902916274220748,33.3;0.6;20.0;25.2;41.4;8.1;20.5;26.7
修订前开机,Ut2,75.125,1337.0116933266665,1.6334181687740876,-10.802341560715737,0.42826130075635227,0.14423154050401274,0.14937214291795947,0.2806099261645521,0.14491831623518353,33.3;40.0;26.7;6.7;19.8;20.2;19.5;40.5
修订前开机,Ut1,105.12500000000001,1502.6073203866667,0.5685125282592952,-1.8240091642174514,0.45014500055968676,0.15419143850860287,0.17113631692678616,0.26840841736984417,0.0811097676838697,33.3;40.0;6.7;13.3;26.7;46.7;20.0;40.3
修订前开机,Ut2,105.12500000000001,1332.37007129,1.2573200445848005,-7.836016260415969,0.49123164812402575,0.14636164755353176,0.1565104464142209,0.3573465783591282,0.09835956768552842,33.3;40.0;6.7;26.7;20.1;40.3;13.3;46.7
修订前开机,Ut1,135.125,1502.0396173566667,0.46260267910078173,-0.40054442689409436,0.3692267334802486,0.1495862476563598,0.15312094482009778,0.12162772076016401,0.045174067491299076,26.7;6.7;33.3;13.3;20.0;40.0;46.7;25.2
修订前开机,Ut2,135.125,1328.7095132066665,1.0217001915200805,-6.23738068637923,0.4196587514380419,0.14574773452853396,0.14825994992247496,0.29943670566675545,0.05156597137164351,33.3;40.0;20.0;26.7;6.7;46.7;13.3;25.2
修订前开机,Ut1,165.125,1501.8449407533333,0.45707000531766273,0.6568097729200996,0.40024895243355263,0.14626786416864376,0.1372088619883616,0.17961476253811637,0.056783243124235404,33.3;26.7;6.7;13.3;20.0;40.0;46.7;25.2
修订前开机,Ut2,165.125,1325.8259328666666,0.9089306485992835,-5.618940475531579,0.3521844641625795,0.13580589152978761,0.13902041267097356,0.2528582912891333,0.04171130060728222,33.3;40.0;20.0;26.7;13.3;41.4;46.7;6.7
修订前开机,Ut1,195.125,1501.527913533333,0.5316953594750329,1.1591982487439372,0.4744965034490457,0.10884398773851284,0.11361275294166864,0.34876418243068597,0.0694290335633063,33.3;26.7;6.7;20.0;40.0;25.2;8.1;41.4
修订前开机,Ut2,195.125,1323.29770423,0.6733723570235145,-4.454979341944075,0.1874987785055213,0.06857361521760892,0.060090317421527706,0.07197658583970601,0.032481196395830865,33.3;20.0;26.7;6.7;13.3;40.0;46.7;25.2
修订前开机,Ut1,225.125,1501.6103367666665,0.7950688957852452,1.4366105088272796,0.6831855685701697,0.2012304811276589,0.20412097162084875,0.5137960612724793,0.08481064774110546,33.3;20.0;40.0;6.7;26.7;8.1;25.2;41.4
修订前开机,Ut2,225.125,1321.1940000766667,0.6159616535489069,-3.9124634694009415,0.23569126313625857,0.07876539253203105,0.06683316671458352,0.09227940585868633,0.03536662878161146,33.3;6.7;26.7;13.3;20.0;46.7;40.0;41.4
修订前开机,Ut1,255.125,1501.6632339733337,0.7911174127548624,-0.03725555526537283,0.7308838365635436,0.16505380199351713,0.17323394434074726,0.5916181186094297,0.08447880418210744,33.3;26.7;6.7;20.0;40.0;25.2;8.1;41.4
修订前开机,Ut2,255.125,1319.3894448133333,0.5828318509685272,-2.965251796544461,0.2606331294611813,0.1152644977160744,0.11511665716120766,0.11421759944039192,0.03587392941741964,33.3;26.7;40.0;20.0;6.7;13.3;46.7;12.3
