channel,window,start_s,end_s,median_advance_samples,r,rmse_mV,nrmse_pct,rms_ratio,regression_gain
Ut2,全段去边缘5秒,5.02,80.54,1,0.9985879539848339,0.06652428379542018,5.333916871069223,0.9937956048987298,0.9923923152131823
Ut2,运动20秒,58.02,78.02000000000001,0,0.9944776380877797,0.13627454084738866,10.494903105922088,0.994737428192456,0.9892440521684875
Ut2,运动20秒,58.02,78.02000000000001,1,0.9983063811852813,0.07568163733913216,5.828465433328572,0.994738723901186,0.9930539514715598
Ut2,低运动10秒,19.02,29.020000000000003,0,0.48825440589110936,0.05331402521729537,97.52667493123374,0.9236938858042913,0.4509567539637867
Ut2,低运动10秒,19.02,29.020000000000003,1,0.5098426671386908,0.052205394107541124,95.49867000346887,0.9246159148603066,0.4713408930226503
Ut2,全段去边缘3秒,3.02,82.54,0,0.9947385434562142,0.12454384830299334,10.245160805649757,0.993691043359933,0.9884627980367442
Ut2,全段去边缘3秒,3.02,82.54,1,0.9983828652095391,0.0693410438800443,5.704096626710672,0.9936910246800383,0.9920841085706141
Ut2,全段去边缘10秒,10.02,75.54,0,0.9950312299381141,0.13010992082275918,9.957573676923435,0.9934964616764859,0.9885574833492746
Ut2,全段去边缘10秒,10.02,75.54,1,0.9988192726282867,0.06385082205376626,4.886631710418268,0.9935470764804648,0.9923723159926818
Ut2,连续10秒_5,5.02,15.02,0,0.3751339925632391,0.05874026995370339,101.87910660134187,0.7975635508251379,0.29921022253585267
Ut2,连续10秒_5,5.02,15.02,1,0.3453239816185619,0.06006887427347127,104.18343753532153,0.7975044142769968,0.2754136312419447
Ut2,连续10秒_15,15.02,25.020000000000003,0,0.42007573690654676,0.0507022521132541,104.53796397694792,0.9388124371595045,0.3943992933249923
Ut2,连续10秒_15,15.02,25.020000000000003,1,0.41022863452337693,0.05112883904478003,105.41750142197667,0.9388032627287415,0.3851501195167436
Ut2,连续10秒_25,25.02,35.019999999999996,0,0.9971181077545088,0.11122258153476937,7.590259061704635,0.9948509542875007,0.9919336278217933
Ut2,连续10秒_25,25.02,35.019999999999996,1,0.9992211485218141,0.05815799725276598,3.968926629529842,0.9949825875146324,0.9941875336490464
Ut2,连续10秒_35,35.02,45.019999999999996,0,0.9960748411805174,0.15767032439385545,8.861197398859398,0.9920352770025187,0.9881732577635189
Ut2,连续10秒_35,35.02,45.019999999999996,1,0.9991165445414265,0.07539818577270564,4.237437895915524,0.9937393318494769,0.992826930411858
Ut2,连续10秒_45,45.02,55.019999999999996,0,0.994143337929769,0.18619849397387217,10.808104521978564,0.9939816609213952,0.9881619591351944
Ut2,连续10秒_45,45.02,55.019999999999996,1,0.9993756912574746,0.06208183099173219,3.60361087758639,0.992283224034328,0.9916641942302812
Ut2,连续10秒_55,55.02,65.02000000000001,0,0.9800830818413869,0.09896015417429604,19.921221723310687,0.9957675829891317,0.9759372658465809
Ut2,连续10秒_55,55.02,65.02000000000001,1,0.9914377698064356,0.06490132410575215,13.064992455144733,0.9948295549791123,0.9863021336405453
Ut2,连续10秒_65,65.02,75.02000000000001,0,0.9954811229476042,0.15218184590848283,9.498377798362885,0.993350432703158,0.9888622232940066
Ut2,连续10秒_65,65.02,75.02000000000001,1,0.9990686786699041,0.06975056161140158,4.353457417197419,0.9932907721286105,0.9923666717653101
