time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
77.34,1996.76514,1996.76514,0.2559197426571036,0.25525038130838906,1622.54333,1622.54333,0.4586728811848905,0.4463814772758592
77.35,1997.45178,1996.76514,0.25249620467729494,0.2509237652638886,1622.31445,1622.54333,0.42932222335125503,0.4342371588240874
77.36,1996.61255,1996.76514,0.2545892727563698,0.2462635795535912,1622.54333,1622.54333,0.39837357195675643,0.4223703460849856
77.37,1996.68884,1996.68884,0.2605352915016705,0.241187874851173,1622.54333,1622.54333,0.36724303083137766,0.411005728401645
77.38,1998.90137,1996.68884,0.26837494944514045,0.2357860177602186,1621.62781,1622.54333,0.3376338860326138,0.40033354697131807
77.39,1996.84143,1996.84143,0.2760656501707648,0.2303251061830431,1622.54333,1622.54333,0.31138276508303697,0.39050565104402696
77.4,1996.15479,1996.84143,0.2816998617800639,0.22522925983224093,1622.46704,1622.46704,0.2902709231947826,0.3816317071399769
77.41,1999.13025,1996.84143,0.28370184788392755,0.22103249722260748,1620.71228,1622.46704,0.2758273634967307,0.3737761751379331
77.42,1996.61255,1996.61255,0.2809820113111714,0.21830930122744813,1622.54333,1622.46704,0.26915190624484725,0.3669571635314034
77.43,1996.68884,1996.68884,0.27303553691038784,0.21759112312232096,1622.54333,1622.54333,0.2707826335416688,0.36114814338491635
77.44,1998.59619,1996.68884,0.25997905562542806,0.21928088717723462,1621.7041,1622.54333,0.28062288058078727,0.35628260681849366
77.45,1996.07849,1996.68884,0.24252651883372378,0.2235792615226015,1622.54333,1622.54333,0.2979310330326407,0.3522605535099042
77.46,1996.68884,1996.68884,0.2219116093170526,0.23043517162906124,1622.54333,1622.54333,0.3213672826367745,0.34895493637778086
77.47,1999.20654,1996.68884,0.19976677326115305,0.2395292710284716,1621.55151,1622.54333,0.3490874220444723,0.3462163399872637
77.48,1996.84143,1996.84143,0.17796849731548664,0.2502938821460955,1622.54333,1622.54333,0.3788727787098513,0.3438750573820009
77.49,1997.07031,1997.07031,0.15845796692888364,0.26196712780262793,1622.54333,1622.54333,0.40828487180366124,0.3417409207064148
77.5,1996.76514,1996.84143,0.14305066264423535,0.2736736106263496,1622.46704,1622.54333,0.43483181039503227,0.3396023500086347
77.51,1996.76514,1996.76514,0.13325706929699535,0.28452046583746804,1622.46704,1622.46704,0.4561315455254162,0.33722690119339027
